age,education,marital-status,relationship,race,gender,hours-per-week,income
23,11th,Never-married,Not-in-family,White,Female,24,<=50K
44,HS-grad,Married-spouse-absent,Unmarried,White,Female,40,<=50K
43,Bachelors,Divorced,Unmarried,White,Female,40,>50K
31,Bachelors,Divorced,Unmarried,White,Female,60,<=50K
18,Some-college,Never-married,Own-child,White,Female,25,<=50K
19,Some-college,Never-married,Own-child,White,Male,30,<=50K
41,Some-college,Divorced,Not-in-family,White,Female,40,<=50K
41,HS-grad,Divorced,Unmarried,White,Female,40,<=50K
69,HS-grad,Divorced,Not-in-family,White,Female,25,<=50K
48,Doctorate,Married-civ-spouse,Wife,White,Female,40,>50K
28,HS-grad,Never-married,Own-child,White,Male,40,<=50K
27,HS-grad,Married-civ-spouse,Husband,White,Male,60,>50K
41,Masters,Married-civ-spouse,Husband,White,Male,50,>50K
41,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
24,HS-grad,Never-married,Unmarried,Black,Female,40,<=50K
20,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
42,Doctorate,Married-civ-spouse,Husband,White,Male,41,>50K
57,HS-grad,Married-civ-spouse,Husband,Black,Male,48,<=50K
30,Assoc-acdm,Never-married,Not-in-family,White,Female,40,<=50K
36,HS-grad,Married-civ-spouse,Husband,White,Male,60,>50K
49,7th-8th,Married-civ-spouse,Husband,Black,Male,40,<=50K
33,HS-grad,Married-civ-spouse,Wife,White,Female,35,<=50K
23,10th,Married-civ-spouse,Husband,White,Male,40,<=50K
46,Masters,Married-civ-spouse,Husband,White,Male,40,<=50K
18,Some-college,Never-married,Own-child,Asian-Pac-Islander,Female,22,<=50K
40,HS-grad,Married-civ-spouse,Husband,White,Male,55,>50K
43,HS-grad,Married-civ-spouse,Husband,White,Male,45,>50K
34,Masters,Never-married,Own-child,White,Female,30,<=50K
47,HS-grad,Widowed,Not-in-family,White,Female,30,<=50K
44,Assoc-voc,Widowed,Unmarried,White,Female,30,<=50K
33,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
55,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
19,HS-grad,Never-married,Not-in-family,White,Male,30,<=50K
28,Some-college,Never-married,Not-in-family,Black,Male,14,<=50K
27,11th,Married-civ-spouse,Wife,Black,Female,32,<=50K
50,7th-8th,Married-civ-spouse,Husband,White,Male,20,<=50K
22,11th,Never-married,Unmarried,White,Male,40,<=50K
40,Bachelors,Married-civ-spouse,Husband,White,Male,45,>50K
25,Some-college,Never-married,Own-child,White,Female,40,<=50K
26,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
22,Bachelors,Never-married,Not-in-family,White,Male,25,<=50K
42,Some-college,Never-married,Unmarried,Black,Female,40,<=50K
38,Bachelors,Divorced,Not-in-family,White,Male,40,<=50K
55,11th,Married-civ-spouse,Husband,White,Male,30,<=50K
32,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
22,HS-grad,Married-civ-spouse,Husband,White,Male,45,<=50K
29,Bachelors,Never-married,Own-child,White,Male,40,<=50K
46,Masters,Married-civ-spouse,Husband,White,Male,45,>50K
31,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
58,Doctorate,Married-civ-spouse,Husband,White,Male,16,>50K
42,HS-grad,Married-civ-spouse,Husband,White,Male,45,<=50K
18,HS-grad,Never-married,Unmarried,White,Male,25,<=50K
58,HS-grad,Divorced,Not-in-family,White,Male,33,<=50K
54,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
34,Masters,Never-married,Not-in-family,White,Male,40,<=50K
26,Bachelors,Never-married,Not-in-family,White,Female,40,<=50K
61,12th,Married-civ-spouse,Husband,White,Male,60,<=50K
48,Masters,Separated,Unmarried,Black,Female,40,<=50K
36,Some-college,Married-civ-spouse,Husband,White,Male,45,>50K
24,Assoc-voc,Married-civ-spouse,Husband,White,Male,45,<=50K
40,Some-college,Married-civ-spouse,Husband,White,Male,37,<=50K
33,HS-grad,Married-civ-spouse,Husband,White,Male,50,>50K
37,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
34,Masters,Never-married,Own-child,White,Male,40,<=50K
56,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
28,HS-grad,Married-civ-spouse,Own-child,White,Female,38,>50K
37,Bachelors,Widowed,Not-in-family,White,Female,55,<=50K
44,HS-grad,Divorced,Unmarried,Black,Female,40,<=50K
64,Some-college,Married-civ-spouse,Husband,White,Male,8,<=50K
54,HS-grad,Divorced,Not-in-family,White,Male,45,<=50K
23,HS-grad,Never-married,Not-in-family,White,Male,50,<=50K
34,Bachelors,Married-spouse-absent,Not-in-family,Black,Male,40,<=50K
22,HS-grad,Never-married,Not-in-family,White,Female,45,<=50K
33,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
39,Bachelors,Separated,Not-in-family,White,Male,50,>50K
47,Some-college,Divorced,Not-in-family,Black,Female,37,<=50K
79,7th-8th,Widowed,Not-in-family,White,Male,40,<=50K
26,HS-grad,Never-married,Unmarried,Black,Female,55,<=50K
31,Some-college,Divorced,Unmarried,White,Female,40,<=50K
44,Some-college,Never-married,Not-in-family,White,Male,45,<=50K
42,Preschool,Married-civ-spouse,Wife,White,Female,50,>50K
19,HS-grad,Never-married,Not-in-family,White,Female,40,<=50K
27,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
51,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
28,Bachelors,Married-civ-spouse,Husband,White,Male,50,<=50K
57,Bachelors,Divorced,Not-in-family,White,Male,45,<=50K
45,Bachelors,Divorced,Unmarried,White,Female,40,<=50K
50,Assoc-voc,Married-civ-spouse,Husband,White,Male,40,>50K
34,Bachelors,Married-civ-spouse,Husband,White,Male,54,<=50K
45,7th-8th,Married-civ-spouse,Husband,Black,Male,40,<=50K
73,HS-grad,Married-civ-spouse,Husband,White,Male,20,<=50K
34,Bachelors,Married-civ-spouse,Wife,White,Female,50,>50K
31,Some-college,Married-civ-spouse,Husband,White,Male,55,>50K
19,11th,Never-married,Not-in-family,White,Male,12,<=50K
25,Some-college,Never-married,Own-child,White,Female,50,<=50K
38,Assoc-voc,Divorced,Unmarried,White,Female,40,<=50K
39,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
23,Bachelors,Never-married,Own-child,Black,Female,32,<=50K
49,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
33,HS-grad,Never-married,Not-in-family,White,Male,32,<=50K
21,5th-6th,Never-married,Other-relative,White,Male,38,<=50K
31,Assoc-voc,Separated,Not-in-family,White,Male,40,<=50K
23,Bachelors,Never-married,Not-in-family,White,Female,45,<=50K
34,Bachelors,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,40,<=50K
25,HS-grad,Never-married,Not-in-family,Asian-Pac-Islander,Female,40,<=50K
39,HS-grad,Never-married,Unmarried,White,Male,40,<=50K
52,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
63,9th,Married-civ-spouse,Husband,White,Male,40,>50K
41,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
46,Bachelors,Married-civ-spouse,Husband,White,Male,38,>50K
53,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
25,9th,Separated,Not-in-family,White,Female,40,<=50K
77,Some-college,Married-civ-spouse,Husband,White,Male,35,<=50K
18,12th,Never-married,Own-child,White,Male,40,<=50K
38,Preschool,Married-civ-spouse,Husband,White,Male,50,<=50K
55,Masters,Never-married,Unmarried,Asian-Pac-Islander,Female,50,<=50K
34,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
80,HS-grad,Married-civ-spouse,Husband,White,Male,30,<=50K
34,Assoc-voc,Divorced,Unmarried,White,Female,60,<=50K
52,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
42,HS-grad,Never-married,Unmarried,Black,Female,28,<=50K
26,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
31,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
25,HS-grad,Never-married,Own-child,White,Female,35,<=50K
55,HS-grad,Married-civ-spouse,Husband,White,Male,60,<=50K
19,Some-college,Never-married,Own-child,White,Female,12,<=50K
62,Some-college,Married-civ-spouse,Husband,White,Male,32,<=50K
22,Some-college,Never-married,Own-child,White,Female,20,<=50K
39,HS-grad,Married-civ-spouse,Wife,White,Female,50,<=50K
35,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
28,HS-grad,Married-civ-spouse,Own-child,White,Female,40,<=50K
47,HS-grad,Married-civ-spouse,Husband,White,Male,70,>50K
44,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
21,Some-college,Never-married,Own-child,White,Male,15,<=50K
35,Assoc-voc,Never-married,Not-in-family,White,Male,50,<=50K
24,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
42,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
28,Bachelors,Never-married,Own-child,White,Male,50,<=50K
21,Some-college,Never-married,Other-relative,White,Male,35,<=50K
62,Some-college,Divorced,Not-in-family,Black,Male,40,<=50K
39,HS-grad,Never-married,Not-in-family,Black,Female,40,<=50K
30,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
72,Preschool,Never-married,Not-in-family,White,Male,20,<=50K
50,Some-college,Married-civ-spouse,Wife,White,Female,50,<=50K
28,Masters,Never-married,Not-in-family,White,Male,40,<=50K
29,Some-college,Never-married,Not-in-family,White,Female,40,<=50K
26,Bachelors,Never-married,Own-child,White,Female,40,<=50K
27,Masters,Never-married,Not-in-family,White,Female,40,<=50K
29,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
61,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
29,10th,Married-civ-spouse,Husband,White,Male,25,<=50K
21,Some-college,Never-married,Own-child,White,Female,30,<=50K
31,11th,Married-civ-spouse,Wife,White,Female,20,<=50K
25,HS-grad,Married-civ-spouse,Husband,White,Male,75,<=50K
58,10th,Married-civ-spouse,Husband,White,Male,40,>50K
64,Some-college,Married-civ-spouse,Wife,White,Female,40,>50K
46,Masters,Never-married,Not-in-family,White,Male,38,<=50K
53,HS-grad,Married-civ-spouse,Husband,White,Male,35,>50K
19,HS-grad,Never-married,Own-child,Amer-Indian-Eskimo,Female,35,<=50K
42,HS-grad,Divorced,Not-in-family,Black,Male,52,<=50K
18,11th,Never-married,Own-child,White,Male,24,<=50K
58,Bachelors,Married-civ-spouse,Husband,White,Male,50,>50K
20,Some-college,Never-married,Not-in-family,Black,Male,60,<=50K
35,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
32,HS-grad,Married-civ-spouse,Husband,White,Male,38,>50K
23,HS-grad,Never-married,Not-in-family,White,Female,25,<=50K
31,Some-college,Divorced,Unmarried,White,Female,40,<=50K
33,Bachelors,Married-civ-spouse,Husband,Black,Male,55,<=50K
41,Some-college,Never-married,Not-in-family,White,Female,48,<=50K
22,HS-grad,Never-married,Own-child,Black,Male,40,<=50K
46,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
61,Some-college,Married-civ-spouse,Husband,Black,Male,40,<=50K
30,HS-grad,Never-married,Not-in-family,Black,Male,40,<=50K
42,HS-grad,Married-civ-spouse,Husband,White,Male,55,>50K
63,10th,Married-civ-spouse,Husband,White,Male,40,<=50K
26,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
42,10th,Divorced,Unmarried,White,Female,40,<=50K
23,Some-college,Married-civ-spouse,Husband,White,Male,40,<=50K
25,HS-grad,Never-married,Unmarried,White,Male,40,<=50K
30,9th,Married-civ-spouse,Husband,White,Male,32,>50K
23,HS-grad,Never-married,Own-child,White,Male,40,<=50K
34,Assoc-voc,Never-married,Not-in-family,White,Male,60,>50K
30,HS-grad,Married-civ-spouse,Other-relative,White,Male,48,<=50K
39,Some-college,Married-civ-spouse,Husband,White,Male,40,>50K
30,11th,Never-married,Other-relative,White,Male,38,<=50K
38,Some-college,Divorced,Unmarried,White,Female,38,<=50K
26,HS-grad,Divorced,Own-child,White,Female,40,<=50K
20,Some-college,Never-married,Own-child,White,Male,16,<=50K
37,Bachelors,Never-married,Unmarried,Black,Male,40,<=50K
33,HS-grad,Married-civ-spouse,Own-child,White,Female,40,<=50K
24,Bachelors,Never-married,Own-child,White,Male,40,<=50K
42,Bachelors,Married-civ-spouse,Husband,White,Male,60,>50K
51,HS-grad,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,84,<=50K
56,Assoc-acdm,Married-civ-spouse,Husband,White,Male,45,>50K
22,Some-college,Never-married,Own-child,White,Male,40,<=50K
52,Some-college,Married-civ-spouse,Husband,White,Male,60,<=50K
44,Bachelors,Divorced,Unmarried,White,Female,45,>50K
34,HS-grad,Married-civ-spouse,Wife,White,Female,35,<=50K
51,Some-college,Divorced,Not-in-family,White,Male,42,>50K
20,Some-college,Never-married,Not-in-family,White,Male,40,<=50K
19,Some-college,Never-married,Not-in-family,White,Female,25,<=50K
37,Bachelors,Married-civ-spouse,Husband,White,Male,40,>50K
68,HS-grad,Married-civ-spouse,Husband,Black,Male,40,>50K
22,Some-college,Divorced,Not-in-family,White,Male,40,<=50K
56,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
37,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
52,1st-4th,Married-civ-spouse,Husband,White,Male,40,<=50K
26,HS-grad,Separated,Own-child,White,Male,40,<=50K
33,Masters,Married-civ-spouse,Husband,White,Male,50,<=50K
45,Masters,Divorced,Unmarried,White,Female,42,<=50K
18,11th,Never-married,Own-child,White,Male,15,<=50K
43,Some-college,Married-civ-spouse,Husband,White,Male,60,>50K
64,Doctorate,Married-civ-spouse,Husband,White,Male,50,>50K
18,HS-grad,Never-married,Own-child,White,Male,20,<=50K
20,Some-college,Never-married,Own-child,White,Male,45,<=50K
57,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
41,HS-grad,Divorced,Unmarried,White,Female,42,<=50K
34,Masters,Married-civ-spouse,Husband,White,Male,50,>50K
19,HS-grad,Never-married,Unmarried,White,Female,40,<=50K
44,9th,Divorced,Unmarried,White,Female,55,<=50K
56,10th,Widowed,Unmarried,White,Female,40,<=50K
36,HS-grad,Married-civ-spouse,Husband,White,Male,80,<=50K
48,Bachelors,Divorced,Unmarried,White,Female,48,<=50K
29,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
33,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
31,5th-6th,Married-civ-spouse,Husband,White,Male,40,<=50K
39,Masters,Married-civ-spouse,Husband,White,Male,45,>50K
66,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
27,Bachelors,Never-married,Not-in-family,White,Female,50,>50K
39,HS-grad,Divorced,Unmarried,Black,Female,40,>50K
59,7th-8th,Married-civ-spouse,Husband,White,Male,50,>50K
26,HS-grad,Never-married,Own-child,White,Female,40,<=50K
31,Assoc-voc,Divorced,Unmarried,White,Male,40,<=50K
45,HS-grad,Widowed,Unmarried,White,Female,40,<=50K
23,HS-grad,Never-married,Own-child,White,Male,30,<=50K
36,HS-grad,Divorced,Unmarried,White,Female,40,<=50K
34,Some-college,Married-civ-spouse,Wife,White,Female,12,>50K
32,HS-grad,Married-civ-spouse,Husband,White,Male,84,>50K
37,Bachelors,Married-civ-spouse,Husband,Black,Male,50,>50K
33,Bachelors,Never-married,Not-in-family,White,Male,45,<=50K
50,Preschool,Married-civ-spouse,Husband,White,Male,80,>50K
32,Assoc-acdm,Never-married,Not-in-family,Black,Male,40,<=50K
35,Bachelors,Never-married,Own-child,Black,Female,40,<=50K
37,11th,Married-civ-spouse,Husband,White,Male,40,<=50K
44,Some-college,Divorced,Not-in-family,White,Male,60,<=50K
57,Some-college,Divorced,Other-relative,White,Male,25,<=50K
29,Some-college,Married-civ-spouse,Own-child,White,Female,40,<=50K
55,HS-grad,Married-civ-spouse,Husband,White,Male,50,>50K
43,Preschool,Married-civ-spouse,Husband,White,Male,25,>50K
43,Some-college,Married-civ-spouse,Husband,White,Male,70,<=50K
45,Some-college,Married-civ-spouse,Husband,White,Male,60,>50K
33,Masters,Married-civ-spouse,Wife,White,Female,8,<=50K
26,10th,Divorced,Unmarried,White,Female,40,<=50K
23,Some-college,Married-civ-spouse,Husband,White,Male,68,<=50K
41,7th-8th,Separated,Not-in-family,White,Male,40,<=50K
24,HS-grad,Married-civ-spouse,Husband,White,Male,40,<=50K
47,Bachelors,Married-civ-spouse,Husband,White,Male,44,<=50K
34,HS-grad,Never-married,Own-child,White,Male,45,<=50K
40,HS-grad,Married-civ-spouse,Husband,White,Male,40,>50K
28,Bachelors,Married-civ-spouse,Wife,Asian-Pac-Islander,Female,40,<=50K
24,HS-grad,Never-married,Own-child,Asian-Pac-Islander,Female,40,<=50K
73,Some-college,Married-civ-spouse,Husband,White,Male,10,<=50K
23,HS-grad,Never-married,Other-relative,White,Male,15,<=50K
43,HS-grad,Married-civ-spouse,Husband,Black,Male,40,>50K
26,Bachelors,Divorced,Not-in-family,White,Female,40,<=50K
58,Doctorate,Married-AF-spouse,Wife,White,Female,35,>50K
52,HS-grad,Widowed,Unmarried,Black,Female,35,<=50K
29,11th,Married-civ-spouse,Husband,White,Male,99,>50K
47,11th,Married-civ-spouse,Husband,White,Male,35,<=50K
49,HS-grad,Divorced,Unmarried,Black,Female,37,<=50K
40,11th,Widowed,Unmarried,White,Female,40,<=50K
62,HS-grad,Married-civ-spouse,Wife,White,Female,40,<=50K
49,HS-grad,Married-civ-spouse,Husband,White,Male,55,>50K
50,Bachelors,Divorced,Other-relative,White,Female,50,>50K
31,HS-grad,Never-married,Own-child,Black,Male,40,<=50K
48,Masters,Never-married,Not-in-family,White,Female,50,<=50K
24,HS-grad,Never-married,Unmarried,White,Female,40,<=50K
41,HS-grad,Never-married,Own-child,White,Female,40,<=50K
37,HS-grad,Separated,Own-child,Asian-Pac-Islander,Male,60,<=50K
45,Bachelors,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,45,>50K
63,HS-grad,Married-civ-spouse,Husband,White,Male,16,<=50K
36,Masters,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,45,<=50K
45,Bachelors,Married-civ-spouse,Husband,White,Male,40,<=50K
41,Bachelors,Never-married,Not-in-family,White,Female,40,<=50K
26,Assoc-acdm,Never-married,Other-relative,White,Female,20,<=50K
17,11th,Never-married,Own-child,White,Female,25,<=50K
27,HS-grad,Married-civ-spouse,Husband,White,Male,36,<=50K
43,HS-grad,Married-civ-spouse,Husband,White,Male,65,<=50K
35,HS-grad,Never-married,Own-child,White,Male,55,<=50K
38,Bachelors,Divorced,Unmarried,White,Female,40,<=50K
26,HS-grad,Never-married,Not-in-family,White,Male,40,<=50K
28,Some-college,Never-married,Own-child,White,Female,40,<=50K
38,Bachelors,Married-civ-spouse,Wife,White,Female,24,>50K
36,11th,Divorced,Unmarried,White,Female,40,<=50K
33,HS-grad,Married-civ-spouse,Wife,White,Female,40,>50K
19,HS-grad,Never-married,Own-child,White,Male,70,<=50K
22,Assoc-acdm,Never-married,Own-child,White,Male,25,<=50K
42,10th,Married-civ-spouse,Husband,White,Male,40,<=50K
50,10th,Married-civ-spouse,Husband,White,Male,40,>50K
30,HS-grad,Married-civ-spouse,Husband,White,Male,30,<=50K
37,Some-college,Married-civ-spouse,Other-relative,Asian-Pac-Islander,Male,40,<=50K
54,Preschool,Married-civ-spouse,Husband,White,Male,40,>50K
52,Bachelors,Never-married,Not-in-family,White,Male,40,<=50K
65,1st-4th,Married-civ-spouse,Husband,Other,Male,40,<=50K
33,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
25,Some-college,Never-married,Other-relative,White,Male,40,<=50K
24,Bachelors,Never-married,Not-in-family,White,Male,45,<=50K
26,Assoc-voc,Separated,Unmarried,Black,Female,40,<=50K
39,HS-grad,Separated,Not-in-family,White,Male,40,>50K
59,HS-grad,Divorced,Not-in-family,White,Female,40,<=50K
29,Some-college,Never-married,Unmarried,White,Female,40,<=50K
47,11th,Never-married,Own-child,White,Female,45,<=50K
23,Some-college,Never-married,Own-child,White,Female,35,<=50K
64,HS-grad,Married-civ-spouse,Husband,White,Male,50,<=50K
21,HS-grad,Never-married,Own-child,Other,Male,20,<=50K
32,Some-college,Married-civ-spouse,Wife,Black,Female,40,>50K
